Frame, Timestamp, Render Stars, Tonemapping, User Interface
0, 1781787694347196602, 18592, 46, 338
1, 1781787694352868071, 18536, 47, 338
2, 1781787694359916055, 18601, 45, 351
3, 1781787694365887200, 18517, 47, 339
4, 1781787694371675325, 18633, 46, 341
5, 1781787694378560667, 18927, 46, 339
6, 1781787694384454917, 18919, 45, 349
7, 1781787694391144520, 18550, 45, 339
8, 1781787694397131964, 18544, 46, 349
9, 1781787694402752070, 18343, 47, 349
10, 1781787694410015261, 18584, 48, 339
11, 1781787694415929321, 18612, 45, 348
12, 1781787694422336112, 18970, 46, 350
13, 1781787694428516348, 18498, 47, 339
14, 1781787694434111481, 18374, 47, 339
15, 1781787694440813821, 18563, 45, 338
16, 1781787694446607165, 18619, 47, 338
17, 1781787694452257870, 18994, 47, 336
18, 1781787694459408038, 18873, 46, 338
19, 1781787694465293473, 18234, 46, 341
20, 1781787694471173613, 18922, 46, 349
21, 1781787694478000607, 18596, 46, 340
22, 1781787694483620780, 18472, 45, 350
23, 1781787694490369288, 18842, 45, 350
24, 1781787694496141464, 18929, 47, 336
25, 1781787694501710711, 19011, 46, 348
26, 1781787694508867351, 18935, 47, 338
27, 1781787694514896446, 18724, 47, 338
28, 1781787694520712825, 18561, 47, 341
29, 1781787694527504802, 18955, 47, 337
30, 1781787694533154222, 18872, 46, 347
31, 1781787694539516670, 19049, 47, 350
32, 1781787694545621307, 18983, 45, 350
33, 1781787694551250204, 18821, 46, 348
34, 1781787694558125178, 18925, 47, 334
35, 1781787694564339694, 18989, 47, 339
36, 1781787694570263698, 18346, 47, 350
37, 1781787694577168289, 18900, 46, 338
38, 1781787694582798463, 18931, 47, 337
39, 1781787694589292167, 18721, 46, 339
40, 1781787694595410149, 18859, 46, 337
41, 1781787694600988661, 18876, 46, 338
42, 1781787694607734408, 18712, 46, 342
43, 1781787694614100792, 18237, 46, 348
44, 1781787694620020285, 18677, 46, 350
45, 1781787694626851844, 18591, 46, 339
46, 1781787694632486757, 18874, 46, 349
47, 1781787694638613107, 18842, 45, 348
48, 1781787694645219899, 18619, 45, 340
49, 1781787694650866222, 18888, 47, 340
50, 1781787694657596091, 18873, 47, 338
51, 1781787694663537788, 18283, 45, 349
52, 1781787694669188919, 18885, 47, 339
53, 1781787694676456128, 18322, 46, 337
54, 1781787694682371908, 18891, 46, 349
55, 1781787694688330924, 18402, 46, 348
56, 1781787694694912925, 18989, 46, 340
57, 1781787694700513897, 18255, 48, 350
58, 1781787694707253848, 18855, 46, 339
59, 1781787694713431138, 18254, 46, 349
60, 1781787694719337086, 18265, 45, 334
61, 1781787694726339048, 18416, 46, 348
62, 1781787694732004777, 18258, 46, 339
63, 1781787694738048073, 19079, 47, 348
64, 1781787694744690365, 19171, 46, 340
65, 1781787694750354362, 18962, 46, 348
66, 1781787694757060489, 18372, 45, 349
67, 1781787694763470494, 18933, 45, 348
68, 1781787694769409710, 18948, 45, 341
69, 1781787694776468881, 19023, 45, 348
70, 1781787694782195852, 18618, 46, 341
71, 1781787694788264212, 18995, 47, 337
72, 1781787694794849627, 18947, 45, 339
73, 1781787694800429285, 18976, 45, 349
74, 1781787694807114007, 18887, 46, 338
75, 1781787694813046109, 18787, 46, 339
76, 1781787694818661520, 18541, 46, 338
77, 1781787694825753766, 18296, 45, 339
78, 1781787694831767734, 19141, 46, 342
79, 1781787694837622095, 18563, 46, 349
80, 1781787694844409009, 18780, 47, 341
81, 1781787694850063479, 18934, 45, 338
82, 1781787694856483761, 18248, 46, 338
83, 1781787694862539949, 18343, 46, 338
84, 1781787694868154358, 18872, 45, 340
85, 1781787694875287657, 18588, 45, 348
86, 1781787694881316757, 18243, 44, 340
87, 1781787694887173667, 18418, 45, 339
88, 1781787694894065562, 18825, 46, 349
89, 1781787694899704155, 18261, 45, 341
90, 1781787694906046717, 18674, 45, 349
91, 1781787694912205889, 19085, 45, 338
92, 1781787694917797444, 18973, 45, 337
93, 1781787694924699616, 18876, 45, 348
94, 1781787694930735444, 18227, 45, 337
95, 1781787694936669037, 18278, 45, 340
96, 1781787694943522939, 18323, 46, 338
97, 1781787694949160043, 18891, 44, 339
98, 1781787694955271283, 18952, 45, 337
99, 1781787694961744036, 18217, 45, 338
100, 1781787694967421624, 18287, 46, 350
101, 1781787694974244568, 18714, 45, 339
102, 1781787694980275696, 18877, 46, 337
103, 1781787694985917450, 19005, 46, 351
104, 1781787694993031824, 18368, 45, 350
105, 1781787694998885829, 18570, 45, 348
106, 1781787695004776880, 18578, 46, 339
107, 1781787695011511388, 19228, 46, 350
108, 1781787695017116888, 18328, 45, 349
109, 1781787695023827152, 18272, 46, 337
110, 1781787695029764209, 18610, 46, 340
111, 1781787695035439176, 18943, 45, 341
112, 1781787695042570442, 18816, 45, 339
113, 1781787695048510579, 18840, 45, 339
114, 1781787695054397867, 18533, 45, 337
115, 1781787695061302582, 18577, 45, 340
116, 1781787695066881321, 18214, 45, 340
117, 1781787695073240604, 18879, 45, 337
118, 1781787695079785986, 18288, 45, 349
119, 1781787695085642703, 18782, 46, 340
120, 1781787695092479270, 18880, 45, 340
121, 1781787695098116991, 18988, 45, 337
122, 1781787695104129165, 19022, 46, 338
123, 1781787695110939728, 18908, 46, 348
124, 1781787695116583710, 18694, 44, 339
125, 1781787695122994134, 19126, 46, 343
126, 1781787695129388240, 18331, 45, 349
127, 1781787695134980555, 18275, 45, 337
128, 1781787695142156872, 18983, 45, 338
129, 1781787695148206351, 18604, 45, 348
130, 1781787695154066036, 18968, 46, 338
131, 1781787695160944331, 18887, 45, 338
132, 1781787695166621154, 18953, 44, 337
133, 1781787695172906257, 18617, 45, 347
134, 1781787695179307073, 18920, 46, 339
135, 1781787695184923801, 18508, 45, 339
136, 1781787695192126910, 18322, 46, 339
137, 1781787695197819562, 19045, 45, 339
138, 1781787695203503079, 18300, 45, 340
139, 1781787695210771395, 18544, 46, 337
140, 1781787695216699152, 18862, 46, 340
141, 1781787695223269713, 18982, 45, 350
142, 1781787695229529571, 18183, 46, 338
143, 1781787695235129191, 18220, 45, 349
144, 1781787695242305886, 19037, 47, 338
145, 1781787695248321115, 18949, 45, 342
146, 1781787695254262237, 18601, 45, 339
147, 1781787695261040760, 18512, 45, 340
148, 1781787695266688294, 18931, 46, 339
149, 1781787695273052871, 18257, 45, 347
150, 1781787695279124720, 18612, 45, 337
151, 1781787695284797304, 18896, 45, 342
152, 1781787695291876103, 18262, 44, 340
153, 1781787695297952071, 18760, 45, 341
154, 1781787695303827278, 18844, 46, 349
155, 1781787695310686842, 18988, 45, 349
156, 1781787695316348907, 18265, 46, 350
157, 1781787695322750200, 18184, 46, 338
158, 1781787695328883850, 18227, 46, 339
159, 1781787695334609209, 18246, 45, 338
160, 1781787695341483321, 18243, 45, 336
161, 1781787695347468601, 18906, 46, 338
