Frame, Timestamp, Render Stars, Tonemapping, User Interface
0, 1781787694347196602, 110446, 43, 342
1, 1781787694352868071, 106678, 43, 342
2, 1781787694359916055, 110274, 43, 339
3, 1781787694365887200, 102444, 42, 343
4, 1781787694371675325, 109050, 43, 339
5, 1781787694378560667, 106254, 43, 343
6, 1781787694384454917, 110279, 42, 348
7, 1781787694391144520, 103266, 43, 340
8, 1781787694397131964, 104068, 43, 353
9, 1781787694402752070, 108077, 43, 343
10, 1781787694410015261, 110430, 43, 340
11, 1781787694415929321, 107515, 43, 340
12, 1781787694422336112, 109866, 42, 340
13, 1781787694428516348, 104411, 42, 338
14, 1781787694434111481, 105373, 43, 345
15, 1781787694440813821, 110064, 43, 338
16, 1781787694446607165, 109514, 43, 339
17, 1781787694452257870, 104362, 43, 343
18, 1781787694459408038, 108597, 43, 338
19, 1781787694465293473, 103189, 43, 358
20, 1781787694471173613, 103499, 42, 354
21, 1781787694478000607, 103877, 43, 337
22, 1781787694483620780, 102857, 43, 340
23, 1781787694490369288, 107173, 42, 340
24, 1781787694496141464, 103013, 43, 338
25, 1781787694501710711, 104546, 42, 338
26, 1781787694508867351, 104899, 43, 411
27, 1781787694514896446, 110807, 43, 339
28, 1781787694520712825, 104302, 42, 342
29, 1781787694527504802, 111004, 42, 341
30, 1781787694533154222, 110675, 43, 341
31, 1781787694539516670, 110752, 42, 339
32, 1781787694545621307, 103847, 43, 354
33, 1781787694551250204, 110362, 43, 337
34, 1781787694558125178, 103122, 43, 337
35, 1781787694564339694, 107349, 43, 337
36, 1781787694570263698, 107550, 43, 341
37, 1781787694577168289, 109970, 42, 338
38, 1781787694582798463, 104490, 43, 345
39, 1781787694589292167, 104534, 43, 339
40, 1781787694595410149, 102671, 42, 339
41, 1781787694600988661, 103415, 172, 353
42, 1781787694607734408, 104098, 43, 338
43, 1781787694614100792, 110259, 43, 342
44, 1781787694620020285, 104521, 43, 352
45, 1781787694626851844, 104144, 43, 359
46, 1781787694632486757, 103812, 42, 341
47, 1781787694638613107, 111738, 42, 338
48, 1781787694645219899, 103271, 43, 338
49, 1781787694650866222, 103972, 43, 343
50, 1781787694657596091, 108481, 43, 340
51, 1781787694663537788, 104389, 43, 337
52, 1781787694669188919, 105617, 42, 341
53, 1781787694676456128, 110257, 42, 338
54, 1781787694682371908, 105877, 42, 340
55, 1781787694688330924, 103094, 43, 340
56, 1781787694694912925, 104248, 42, 351
57, 1781787694700513897, 109769, 42, 339
58, 1781787694707253848, 103529, 43, 338
59, 1781787694713431138, 103012, 43, 406
60, 1781787694719337086, 109302, 43, 339
61, 1781787694726339048, 103523, 42, 340
62, 1781787694732004777, 104075, 42, 351
63, 1781787694738048073, 109558, 43, 337
64, 1781787694744690365, 103257, 43, 337
65, 1781787694750354362, 103509, 43, 346
66, 1781787694757060489, 104433, 43, 340
67, 1781787694763470494, 106870, 42, 341
68, 1781787694769409710, 111496, 43, 342
69, 1781787694776468881, 109352, 43, 339
70, 1781787694782195852, 103271, 43, 340
71, 1781787694788264212, 104134, 43, 344
72, 1781787694794849627, 110777, 43, 340
73, 1781787694800429285, 106727, 43, 338
74, 1781787694807114007, 103638, 43, 353
75, 1781787694813046109, 105114, 42, 338
76, 1781787694818661520, 109312, 43, 344
77, 1781787694825753766, 107392, 43, 337
78, 1781787694831767734, 109222, 43, 339
79, 1781787694837622095, 109572, 42, 340
80, 1781787694844409009, 111147, 42, 339
81, 1781787694850063479, 110189, 43, 340
82, 1781787694856483761, 102502, 43, 338
83, 1781787694862539949, 104697, 43, 352
84, 1781787694868154358, 109236, 43, 351
85, 1781787694875287657, 103313, 43, 342
86, 1781787694881316757, 110808, 43, 338
87, 1781787694887173667, 109343, 43, 338
88, 1781787694894065562, 109674, 42, 338
89, 1781787694899704155, 110057, 42, 339
90, 1781787694906046717, 105525, 43, 344
91, 1781787694912205889, 103687, 43, 340
92, 1781787694917797444, 109900, 42, 342
93, 1781787694924699616, 103867, 43, 342
94, 1781787694930735444, 104389, 43, 351
95, 1781787694936669037, 109083, 43, 338
96, 1781787694943522939, 110018, 43, 339
97, 1781787694949160043, 103972, 43, 338
98, 1781787694955271283, 105039, 43, 342
99, 1781787694961744036, 109789, 42, 336
100, 1781787694967421624, 102584, 43, 342
101, 1781787694974244568, 104115, 42, 367
102, 1781787694980275696, 108365, 43, 339
103, 1781787694985917450, 102631, 44, 343
104, 1781787694993031824, 105617, 44, 354
105, 1781787694998885829, 105145, 43, 340
106, 1781787695004776880, 103953, 43, 338
107, 1781787695011511388, 105011, 44, 353
108, 1781787695017116888, 104871, 43, 338
109, 1781787695023827152, 102686, 43, 341
110, 1781787695029764209, 103207, 43, 339
111, 1781787695035439176, 103969, 43, 338
