Frame, Timestamp, Render Stars, Tonemapping, User Interface
0, 1781787694347196602, 2157, 291, 280
1, 1781787694352868071, 1864, 292, 16
2, 1781787694359916055, 2127, 289, 16
3, 1781787694365887200, 1882, 289, 17
4, 1781787694371675325, 2258, 289, 79
5, 1781787694378560667, 2062, 290, 208
6, 1781787694384454917, 2180, 290, 284
7, 1781787694391144520, 2101, 289, 277
8, 1781787694397131964, 1961, 292, 17
9, 1781787694402752070, 2118, 291, 16
10, 1781787694410015261, 2286, 292, 16
11, 1781787694415929321, 2112, 292, 76
12, 1781787694422336112, 2196, 291, 356
13, 1781787694428516348, 2161, 290, 280
14, 1781787694434111481, 1894, 290, 16
15, 1781787694440813821, 2128, 291, 16
16, 1781787694446607165, 1989, 290, 14
17, 1781787694452257870, 2213, 291, 74
18, 1781787694459408038, 2173, 292, 350
19, 1781787694465293473, 2171, 292, 279
20, 1781787694471173613, 1899, 291, 16
21, 1781787694478000607, 2132, 289, 16
22, 1781787694483620780, 1863, 290, 16
23, 1781787694490369288, 2257, 291, 16
24, 1781787694496141464, 2076, 291, 223
25, 1781787694501710711, 2164, 291, 345
26, 1781787694508867351, 2173, 292, 279
27, 1781787694514896446, 1982, 290, 16
28, 1781787694520712825, 2121, 289, 16
29, 1781787694527504802, 1953, 290, 16
30, 1781787694533154222, 2045, 290, 76
31, 1781787694539516670, 2183, 291, 337
32, 1781787694545621307, 2148, 291, 287
33, 1781787694551250204, 1907, 290, 16
34, 1781787694558125178, 2099, 291, 17
35, 1781787694564339694, 1925, 291, 17
36, 1781787694570263698, 2233, 290, 75
37, 1781787694577168289, 2189, 290, 350
38, 1781787694582798463, 2138, 291, 282
39, 1781787694589292167, 1903, 289, 16
40, 1781787694595410149, 2097, 289, 17
41, 1781787694600988661, 1865, 293, 17
42, 1781787694607734408, 2058, 288, 17
43, 1781787694614100792, 2161, 292, 181
44, 1781787694620020285, 2284, 293, 351
45, 1781787694626851844, 2174, 290, 283
46, 1781787694632486757, 1876, 290, 16
47, 1781787694638613107, 2155, 292, 16
48, 1781787694645219899, 1974, 289, 14
49, 1781787694650866222, 2231, 291, 87
50, 1781787694657596091, 2207, 290, 346
51, 1781787694663537788, 2131, 292, 290
