Frame, Timestamp, Render Stars, Tonemapping, User Interface
0, 1781787694347196602, 5414, 292, 277
1, 1781787694352868071, 5179, 287, 89
2, 1781787694359916055, 6092, 287, 364
3, 1781787694365887200, 5298, 408, 290
4, 1781787694371675325, 5177, 289, 241
5, 1781787694378560667, 5686, 408, 342
6, 1781787694384454917, 5010, 286, 339
7, 1781787694391144520, 5482, 673, 538
8, 1781787694397131964, 5284, 291, 292
9, 1781787694402752070, 5163, 289, 87
10, 1781787694410015261, 6132, 411, 343
11, 1781787694415929321, 5015, 290, 290
12, 1781787694422336112, 5008, 483, 433
13, 1781787694428516348, 5436, 287, 341
14, 1781787694434111481, 5171, 289, 82
15, 1781787694440813821, 5389, 613, 573
16, 1781787694446607165, 5176, 290, 278
17, 1781787694452257870, 5166, 288, 79
18, 1781787694459408038, 5894, 523, 360
19, 1781787694465293473, 5014, 289, 278
20, 1781787694471173613, 5011, 287, 361
21, 1781787694478000607, 6084, 292, 339
22, 1781787694483620780, 5166, 290, 16
23, 1781787694490369288, 5417, 642, 539
24, 1781787694496141464, 5164, 289, 349
25, 1781787694501710711, 5161, 291, 88
26, 1781787694508867351, 5759, 683, 418
27, 1781787694514896446, 5163, 288, 279
28, 1781787694520712825, 5011, 289, 361
29, 1781787694527504802, 6078, 291, 339
30, 1781787694533154222, 5165, 289, 16
31, 1781787694539516670, 5167, 482, 660
32, 1781787694545621307, 5418, 291, 340
33, 1781787694551250204, 5167, 289, 87
34, 1781787694558125178, 5503, 674, 482
35, 1781787694564339694, 5285, 290, 279
36, 1781787694570263698, 5166, 287, 370
37, 1781787694577168289, 6171, 291, 357
38, 1781787694582798463, 5168, 288, 16
39, 1781787694589292167, 5161, 484, 517
40, 1781787694595410149, 5310, 289, 349
41, 1781787694600988661, 5160, 289, 89
42, 1781787694607734408, 5394, 646, 562
43, 1781787694614100792, 5443, 290, 290
44, 1781787694620020285, 5161, 286, 361
45, 1781787694626851844, 6147, 289, 346
46, 1781787694632486757, 5163, 287, 14
47, 1781787694638613107, 5171, 290, 438
48, 1781787694645219899, 5901, 288, 339
49, 1781787694650866222, 5167, 288, 78
50, 1781787694657596091, 5373, 648, 492
51, 1781787694663537788, 5276, 288, 277
52, 1781787694669188919, 5174, 288, 88
53, 1781787694676456128, 6086, 412, 351
54, 1781787694682371908, 5012, 289, 281
55, 1781787694688330924, 5166, 290, 455
56, 1781787694694912925, 5845, 289, 351
57, 1781787694700513897, 5175, 290, 88
